"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.515849816073223","0.526992178862759","0.534944969297018","0.550255880896731","0.572629068303324","0.579803423452732","0.587938271809419","0.599380891715251","0.631797225387983","0.636625098101821","0.628973694072581","0.64974866059543","0.668179513389212","0.675221615808179","0.676016069234022","0.688679918915654","0.69135563251433","0.707898439531212","0.724120548657128","0.731939888305978","0.714304441025581","0.727899780486547","0.736741127648223","0.719008021782698","0.73280502011743","0.763303791019128","0.759784686729285","0.757897566150687","0.765701445787313","0.79509039830895","0.788775769025922","0.761985246029648","0.736157555963743","",
"Africa Eastern and Southern","AFE","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.215021739756714","0.185514296381545","0.193149006563501","0.205665899112522","0.22823796542098","0.23621153852991","0.244437624900144","0.29233707437696","0.286211074308156","0.287804316101289","0.317535785964613","0.347863295726007","0.327603869657351","0.298647465611095","0.280987881083867","0.247614251046152","0.23589670774426","0.224963910315426","0.202007124113082","0.192221917434848","0.199371857842555","0.166339134816569","0.168477763243707","",
"Africa Western and Central","AFW","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.236972945558272","0.172571925734898","0.183680406373561","0.187451871419604","0.201741456546863","0.161535907954915","0.147413014039756","0.207544151149761","0.190652620754239","0.230670018673169","0.255948676884834","0.297029974469886","0.393017915763477","0.484246131016389","0.515263510096949","0.616874737851365","0.482696792492941","0.544472657260849","0.687772640450927","0.691511467071733","0.66892231890813","0.626511613384655","0.451408159659843","0.264176316567577","0.348542002652781","0.345489998832843","0.290879978262779","0.224768108944545","0.259967838981942","0.369985784415244","0.287234512367994",
"Albania","ALB","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.292271376314356","0.212840660786215","0.132986037054394","0.215502385900097","0.309157788998425","0.339511849648464","0.338938243007555","0.264019801416654","0.269374372418013","0.297621372325264","0.291787957412728","0.298002479906913","0.299911159878426","0.369201201453294","0.437301079231517","0.455870254301403","0.452714214776039","0.49349264111743","0.531170352707917","0.466846540344687","0.425313411354861","0.434708270149721","0.40354772122107","0.4174917792628","0.406683890554702","0.339062280129443","0.341441984315825","0.354825093785022","0.391758400121435","0.369154032347623","0.370106552087054","0.39215839018894","0.349365916945037","0.391102996419097",
"Andorra","AND","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.785409242972656","0.796942715328772","0.843921142493643","0.693292693347461","0.669880582591167","0.739671588710974","0.720761863932219","0.626613827625604","0.616389337078704","0.597509080833484","0.651867168281374","0.637241214407059","0.683942929826867","0.827833118673562","0.913474977377555","0.91592192005453","0.927742682722741","1.01757415275908","1.0957541690743","1.03414679084943","0.974771715357604","1.00476009357413","0.912038832787333","0.931178084861943","0.914732692796882","0.761925228532853","0.75559614822366","0.7661881617016","0.77509352285557","0.71783827489834","0.71716069963247","0.715053505428999","0.619961907310427","0.650179606338869",
"Arab World","ARB","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.307191463381373","0.299552036704151","0.29816957093064","0.29498810988298","0.288063120862901","0.293172220801419","0.304522099140572","0.29650898981079","0.280624381967771","0.30007224114825","0.327050788347461","0.312334553421675","0.319152574323967","0.325719046424822","0.344155163451257","0.388839418812651","0.422329032728471","0.462727113989462","0.538117992295221","0.453617818534124","0.522244488394364","0.579062865006023","0.595771265536419","0.608356864722832","0.602727497747564","0.607010736701618","0.610414933757808","0.622260156661334","0.608620471577811","0.575554200465214","0.568818104680986","0.643313052785729","0.680577921819058","0.63140788806012",
"Argentina","ARG","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.602842701788135","0.717154038730138","0.783353878436844","0.731791622011892","0.736171486542928","0.743875471098244","0.730119100886283","0.714412313975786","0.694425180459981","0.672159933961291","0.66408924471236","0.642348668943853","0.258171365808387","0.303700588489583","0.350068749220172","0.376362707789093","0.395415468079093","0.436657685683402","0.517696128965063","0.503658220289319","0.574874210866226","0.66497195531362","0.666466239450322","0.650493382001246","0.627745774331629","0.687447782840901","0.631657865947359","0.62144344185593","0.481467070966957","0.423355375548655","0.381166737382459","0.408285397167516","0.470102789271274","0.467617700489386",
